scenario,scenario_display,sample_idx,target_region,target_region_idx,inferred_region,inferred_region_idx,region_role,method,mse,mae,crps,interval_score,ci_width,coverage,median_mse
HCM,Multi-territory MI (μ=1.7),0,All Regions,-1,Anterior,0,Diseased,MCMC,0.000814,,0.072843,1.121494,1.121494,1.000000,0.000814
HCM,Multi-territory MI (μ=1.7),0,All Regions,-1,Inferior,1,Diseased,MCMC,0.010653,,0.111257,1.767533,1.767533,1.000000,0.010653
HCM,Multi-territory MI (μ=1.7),0,All Regions,-1,Lateral,2,Diseased,MCMC,0.000045,,0.045183,0.747693,0.747693,1.000000,0.000045
HCM,Multi-territory MI (μ=1.7),0,All Regions,-1,Septal,3,Diseased,MCMC,0.047774,,0.147525,1.605019,1.605019,1.000000,0.047774
HCM,Multi-territory MI (μ=1.7),0,All Regions,-1,Apical,4,Diseased,MCMC,0.000013,,0.042034,0.694095,0.694095,1.000000,0.000013
HCM,Multi-territory MI (μ=1.7),1,All Regions,-1,Anterior,0,Diseased,MCMC,0.000756,,0.086480,1.279128,1.279128,1.000000,0.000756
HCM,Multi-territory MI (μ=1.7),1,All Regions,-1,Inferior,1,Diseased,MCMC,0.007588,,0.144300,2.469454,2.469454,1.000000,0.007588
HCM,Multi-territory MI (μ=1.7),1,All Regions,-1,Lateral,2,Diseased,MCMC,0.000406,,0.070184,1.158085,1.158085,1.000000,0.000406
HCM,Multi-territory MI (μ=1.7),1,All Regions,-1,Septal,3,Diseased,MCMC,0.027367,,0.134249,1.671562,1.671562,1.000000,0.027367
HCM,Multi-territory MI (μ=1.7),1,All Regions,-1,Apical,4,Diseased,MCMC,0.000177,,0.045322,0.791319,0.791319,1.000000,0.000177
HCM,Multi-territory MI (μ=1.7),2,All Regions,-1,Anterior,0,Diseased,MCMC,0.002493,,0.083290,1.223525,1.223525,1.000000,0.002493
HCM,Multi-territory MI (μ=1.7),2,All Regions,-1,Inferior,1,Diseased,MCMC,0.000447,,0.103076,1.748184,1.748184,1.000000,0.000447
HCM,Multi-territory MI (μ=1.7),2,All Regions,-1,Lateral,2,Diseased,MCMC,0.005467,,0.066939,0.941848,0.941848,1.000000,0.005467
HCM,Multi-territory MI (μ=1.7),2,All Regions,-1,Septal,3,Diseased,MCMC,0.045760,,0.137043,1.609090,1.609090,1.000000,0.045760
HCM,Multi-territory MI (μ=1.7),2,All Regions,-1,Apical,4,Diseased,MCMC,0.001030,,0.048618,0.771001,0.771001,1.000000,0.001030
HCM,Multi-territory MI (μ=1.7),3,All Regions,-1,Anterior,0,Diseased,MCMC,0.000799,,0.071250,1.080750,1.080750,1.000000,0.000799
HCM,Multi-territory MI (μ=1.7),3,All Regions,-1,Inferior,1,Diseased,MCMC,0.003885,,0.154055,2.513517,2.513517,1.000000,0.003885
HCM,Multi-territory MI (μ=1.7),3,All Regions,-1,Lateral,2,Diseased,MCMC,0.000389,,0.052168,0.833627,0.833627,1.000000,0.000389
HCM,Multi-territory MI (μ=1.7),3,All Regions,-1,Septal,3,Diseased,MCMC,0.056493,,0.153478,1.811441,1.811441,1.000000,0.056493
HCM,Multi-territory MI (μ=1.7),3,All Regions,-1,Apical,4,Diseased,MCMC,0.000596,,0.045937,0.707874,0.707874,1.000000,0.000596
HCM,Multi-territory MI (μ=1.7),4,All Regions,-1,Anterior,0,Diseased,MCMC,0.001870,,0.071324,1.106846,1.106846,1.000000,0.001870
HCM,Multi-territory MI (μ=1.7),4,All Regions,-1,Inferior,1,Diseased,MCMC,0.000664,,0.118585,2.171564,2.171564,1.000000,0.000664
HCM,Multi-territory MI (μ=1.7),4,All Regions,-1,Lateral,2,Diseased,MCMC,0.000128,,0.042530,0.727148,0.727148,1.000000,0.000128
HCM,Multi-territory MI (μ=1.7),4,All Regions,-1,Septal,3,Diseased,MCMC,0.083495,,0.172565,1.789807,1.789807,1.000000,0.083495
HCM,Multi-territory MI (μ=1.7),4,All Regions,-1,Apical,4,Diseased,MCMC,0.001194,,0.047474,0.709947,0.709947,1.000000,0.001194
HCM,Multi-territory MI (μ=1.7),5,All Regions,-1,Anterior,0,Diseased,MCMC,0.002362,,0.068040,1.073905,1.073905,1.000000,0.002362
HCM,Multi-territory MI (μ=1.7),5,All Regions,-1,Inferior,1,Diseased,MCMC,0.018178,,0.136937,2.104155,2.104155,1.000000,0.018178
HCM,Multi-territory MI (μ=1.7),5,All Regions,-1,Lateral,2,Diseased,MCMC,0.002202,,0.049163,0.728319,0.728319,1.000000,0.002202
HCM,Multi-territory MI (μ=1.7),5,All Regions,-1,Septal,3,Diseased,MCMC,0.114975,,0.199728,1.696852,1.696852,1.000000,0.114975
HCM,Multi-territory MI (μ=1.7),5,All Regions,-1,Apical,4,Diseased,MCMC,0.001156,,0.055157,0.818638,0.818638,1.000000,0.001156
HCM,Multi-territory MI (μ=1.7),6,All Regions,-1,Anterior,0,Diseased,MCMC,0.000316,,0.067737,1.043415,1.043415,1.000000,0.000316
HCM,Multi-territory MI (μ=1.7),6,All Regions,-1,Inferior,1,Diseased,MCMC,0.004043,,0.117967,1.999844,1.999844,1.000000,0.004043
HCM,Multi-territory MI (μ=1.7),6,All Regions,-1,Lateral,2,Diseased,MCMC,0.000287,,0.062848,0.945500,0.945500,1.000000,0.000287
HCM,Multi-territory MI (μ=1.7),6,All Regions,-1,Septal,3,Diseased,MCMC,0.033486,,0.146153,1.800359,1.800359,1.000000,0.033486
HCM,Multi-territory MI (μ=1.7),6,All Regions,-1,Apical,4,Diseased,MCMC,0.000722,,0.052365,0.880522,0.880522,1.000000,0.000722
HCM,Multi-territory MI (μ=1.7),7,All Regions,-1,Anterior,0,Diseased,MCMC,0.000169,,0.084789,1.267008,1.267008,1.000000,0.000169
HCM,Multi-territory MI (μ=1.7),7,All Regions,-1,Inferior,1,Diseased,MCMC,0.045762,,0.161213,2.095017,2.095017,1.000000,0.045762
HCM,Multi-territory MI (μ=1.7),7,All Regions,-1,Lateral,2,Diseased,MCMC,0.002210,,0.058362,0.879119,0.879119,1.000000,0.002210
HCM,Multi-territory MI (μ=1.7),7,All Regions,-1,Septal,3,Diseased,MCMC,0.003961,,0.140700,2.177887,2.177887,1.000000,0.003961
HCM,Multi-territory MI (μ=1.7),7,All Regions,-1,Apical,4,Diseased,MCMC,0.000252,,0.043939,0.703742,0.703742,1.000000,0.000252
HCM,Multi-territory MI (μ=1.7),8,All Regions,-1,Anterior,0,Diseased,MCMC,0.002847,,0.082212,1.197623,1.197623,1.000000,0.002847
HCM,Multi-territory MI (μ=1.7),8,All Regions,-1,Inferior,1,Diseased,MCMC,0.038187,,0.145112,1.967965,1.967965,1.000000,0.038187
HCM,Multi-territory MI (μ=1.7),8,All Regions,-1,Lateral,2,Diseased,MCMC,0.001761,,0.067985,1.008840,1.008840,1.000000,0.001761
HCM,Multi-territory MI (μ=1.7),8,All Regions,-1,Septal,3,Diseased,MCMC,0.001271,,0.143288,2.253653,2.253653,1.000000,0.001271
HCM,Multi-territory MI (μ=1.7),8,All Regions,-1,Apical,4,Diseased,MCMC,0.000002,,0.049031,0.821949,0.821949,1.000000,0.000002
HCM,Multi-territory MI (μ=1.7),9,All Regions,-1,Anterior,0,Diseased,MCMC,0.000205,,0.085245,1.369066,1.369066,1.000000,0.000205
HCM,Multi-territory MI (μ=1.7),9,All Regions,-1,Inferior,1,Diseased,MCMC,0.014866,,0.142901,2.231174,2.231174,1.000000,0.014866
HCM,Multi-territory MI (μ=1.7),9,All Regions,-1,Lateral,2,Diseased,MCMC,0.000102,,0.059310,1.014621,1.014621,1.000000,0.000102
HCM,Multi-territory MI (μ=1.7),9,All Regions,-1,Septal,3,Diseased,MCMC,0.015530,,0.122680,1.785012,1.785012,1.000000,0.015530
HCM,Multi-territory MI (μ=1.7),9,All Regions,-1,Apical,4,Diseased,MCMC,0.000403,,0.048306,0.803108,0.803108,1.000000,0.000403
HCM,Multi-territory MI (μ=1.7),10,All Regions,-1,Anterior,0,Diseased,MCMC,0.005919,,0.105019,1.484017,1.484017,1.000000,0.005919
HCM,Multi-territory MI (μ=1.7),10,All Regions,-1,Inferior,1,Diseased,MCMC,0.002582,,0.110525,1.710906,1.710906,1.000000,0.002582
HCM,Multi-territory MI (μ=1.7),10,All Regions,-1,Lateral,2,Diseased,MCMC,0.000201,,0.054731,0.889675,0.889675,1.000000,0.000201
HCM,Multi-territory MI (μ=1.7),10,All Regions,-1,Septal,3,Diseased,MCMC,0.021903,,0.139852,1.948311,1.948311,1.000000,0.021903
HCM,Multi-territory MI (μ=1.7),10,All Regions,-1,Apical,4,Diseased,MCMC,0.000095,,0.047156,0.764111,0.764111,1.000000,0.000095
HCM,Multi-territory MI (μ=1.7),11,All Regions,-1,Anterior,0,Diseased,MCMC,0.007583,,0.077820,1.159845,1.159845,1.000000,0.007583
HCM,Multi-territory MI (μ=1.7),11,All Regions,-1,Inferior,1,Diseased,MCMC,0.030109,,0.128989,1.775659,1.775659,1.000000,0.030109
HCM,Multi-territory MI (μ=1.7),11,All Regions,-1,Lateral,2,Diseased,MCMC,0.000335,,0.043711,0.718797,0.718797,1.000000,0.000335
HCM,Multi-territory MI (μ=1.7),11,All Regions,-1,Septal,3,Diseased,MCMC,0.078695,,0.166140,1.407113,1.407113,1.000000,0.078695
HCM,Multi-territory MI (μ=1.7),11,All Regions,-1,Apical,4,Diseased,MCMC,0.001001,,0.037638,0.548785,0.548785,1.000000,0.001001
HCM,Multi-territory MI (μ=1.7),12,All Regions,-1,Anterior,0,Diseased,MCMC,0.000831,,0.080523,1.223004,1.223004,1.000000,0.000831
HCM,Multi-territory MI (μ=1.7),12,All Regions,-1,Inferior,1,Diseased,MCMC,0.000035,,0.106537,1.765809,1.765809,1.000000,0.000035
HCM,Multi-territory MI (μ=1.7),12,All Regions,-1,Lateral,2,Diseased,MCMC,0.004940,,0.054351,0.721181,0.721181,1.000000,0.004940
HCM,Multi-territory MI (μ=1.7),12,All Regions,-1,Septal,3,Diseased,MCMC,0.051615,,0.145280,1.666164,1.666164,1.000000,0.051615
HCM,Multi-territory MI (μ=1.7),12,All Regions,-1,Apical,4,Diseased,MCMC,0.000119,,0.032601,0.526858,0.526858,1.000000,0.000119
HCM,Multi-territory MI (μ=1.7),13,All Regions,-1,Anterior,0,Diseased,MCMC,0.000181,,0.088443,1.246748,1.246748,1.000000,0.000181
HCM,Multi-territory MI (μ=1.7),13,All Regions,-1,Inferior,1,Diseased,MCMC,0.007738,,0.120468,2.079743,2.079743,1.000000,0.007738
HCM,Multi-territory MI (μ=1.7),13,All Regions,-1,Lateral,2,Diseased,MCMC,0.003209,,0.055360,0.862703,0.862703,1.000000,0.003209
HCM,Multi-territory MI (μ=1.7),13,All Regions,-1,Septal,3,Diseased,MCMC,0.031439,,0.137216,1.694703,1.694703,1.000000,0.031439
HCM,Multi-territory MI (μ=1.7),13,All Regions,-1,Apical,4,Diseased,MCMC,0.000159,,0.033755,0.591320,0.591320,1.000000,0.000159
HCM,Multi-territory MI (μ=1.7),14,All Regions,-1,Anterior,0,Diseased,MCMC,0.000769,,0.083364,1.268085,1.268085,1.000000,0.000769
HCM,Multi-territory MI (μ=1.7),14,All Regions,-1,Inferior,1,Diseased,MCMC,0.009535,,0.121362,2.048655,2.048655,1.000000,0.009535
HCM,Multi-territory MI (μ=1.7),14,All Regions,-1,Lateral,2,Diseased,MCMC,0.001065,,0.064899,1.031716,1.031716,1.000000,0.001065
HCM,Multi-territory MI (μ=1.7),14,All Regions,-1,Septal,3,Diseased,MCMC,0.029935,,0.135774,1.734439,1.734439,1.000000,0.029935
HCM,Multi-territory MI (μ=1.7),14,All Regions,-1,Apical,4,Diseased,MCMC,0.000089,,0.044225,0.691346,0.691346,1.000000,0.000089
HCM,Multi-territory MI (μ=1.7),15,All Regions,-1,Anterior,0,Diseased,MCMC,0.000711,,0.098274,1.551405,1.551405,1.000000,0.000711
HCM,Multi-territory MI (μ=1.7),15,All Regions,-1,Inferior,1,Diseased,MCMC,0.038565,,0.153775,2.144613,2.144613,1.000000,0.038565
HCM,Multi-territory MI (μ=1.7),15,All Regions,-1,Lateral,2,Diseased,MCMC,0.001521,,0.073108,1.096752,1.096752,1.000000,0.001521
HCM,Multi-territory MI (μ=1.7),15,All Regions,-1,Septal,3,Diseased,MCMC,0.002835,,0.153415,2.340929,2.340929,1.000000,0.002835
HCM,Multi-territory MI (μ=1.7),15,All Regions,-1,Apical,4,Diseased,MCMC,0.000149,,0.050549,0.848239,0.848239,1.000000,0.000149
HCM,Multi-territory MI (μ=1.7),16,All Regions,-1,Anterior,0,Diseased,MCMC,0.000129,,0.089428,1.346770,1.346770,1.000000,0.000129
HCM,Multi-territory MI (μ=1.7),16,All Regions,-1,Inferior,1,Diseased,MCMC,0.000293,,0.117113,2.012637,2.012637,1.000000,0.000293
HCM,Multi-territory MI (μ=1.7),16,All Regions,-1,Lateral,2,Diseased,MCMC,0.000746,,0.053735,0.905532,0.905532,1.000000,0.000746
HCM,Multi-territory MI (μ=1.7),16,All Regions,-1,Septal,3,Diseased,MCMC,0.055321,,0.156391,1.849396,1.849396,1.000000,0.055321
HCM,Multi-territory MI (μ=1.7),16,All Regions,-1,Apical,4,Diseased,MCMC,0.000165,,0.043915,0.666791,0.666791,1.000000,0.000165
HCM,Multi-territory MI (μ=1.7),17,All Regions,-1,Anterior,0,Diseased,MCMC,0.000020,,0.068033,1.059642,1.059642,1.000000,0.000020
HCM,Multi-territory MI (μ=1.7),17,All Regions,-1,Inferior,1,Diseased,MCMC,0.000376,,0.113392,1.947733,1.947733,1.000000,0.000376
HCM,Multi-territory MI (μ=1.7),17,All Regions,-1,Lateral,2,Diseased,MCMC,0.000032,,0.052670,0.876646,0.876646,1.000000,0.000032
HCM,Multi-territory MI (μ=1.7),17,All Regions,-1,Septal,3,Diseased,MCMC,0.024581,,0.118759,1.626230,1.626230,1.000000,0.024581
HCM,Multi-territory MI (μ=1.7),17,All Regions,-1,Apical,4,Diseased,MCMC,0.000006,,0.044931,0.786992,0.786992,1.000000,0.000006
HCM,Multi-territory MI (μ=1.7),18,All Regions,-1,Anterior,0,Diseased,MCMC,0.007943,,0.069667,0.987920,0.987920,1.000000,0.007943
HCM,Multi-territory MI (μ=1.7),18,All Regions,-1,Inferior,1,Diseased,MCMC,0.018047,,0.119565,1.656614,1.656614,1.000000,0.018047
HCM,Multi-territory MI (μ=1.7),18,All Regions,-1,Lateral,2,Diseased,MCMC,0.001266,,0.053514,0.819558,0.819558,1.000000,0.001266
HCM,Multi-territory MI (μ=1.7),18,All Regions,-1,Septal,3,Diseased,MCMC,0.102942,,0.195435,1.445283,1.445283,1.000000,0.102942
HCM,Multi-territory MI (μ=1.7),18,All Regions,-1,Apical,4,Diseased,MCMC,0.002210,,0.048626,0.744919,0.744919,1.000000,0.002210
HCM,Multi-territory MI (μ=1.7),19,All Regions,-1,Anterior,0,Diseased,MCMC,0.000819,,0.051709,0.842015,0.842015,1.000000,0.000819
HCM,Multi-territory MI (μ=1.7),19,All Regions,-1,Inferior,1,Diseased,MCMC,0.001374,,0.113112,1.914283,1.914283,1.000000,0.001374
HCM,Multi-territory MI (μ=1.7),19,All Regions,-1,Lateral,2,Diseased,MCMC,0.000403,,0.049637,0.816033,0.816033,1.000000,0.000403
HCM,Multi-territory MI (μ=1.7),19,All Regions,-1,Septal,3,Diseased,MCMC,0.090844,,0.174535,1.652064,1.652064,1.000000,0.090844
HCM,Multi-territory MI (μ=1.7),19,All Regions,-1,Apical,4,Diseased,MCMC,0.000902,,0.055597,0.849524,0.849524,1.000000,0.000902
HCM,Multi-territory MI (μ=1.7),20,All Regions,-1,Anterior,0,Diseased,MCMC,0.000722,,0.083237,1.225921,1.225921,1.000000,0.000722
HCM,Multi-territory MI (μ=1.7),20,All Regions,-1,Inferior,1,Diseased,MCMC,0.001533,,0.105624,1.742523,1.742523,1.000000,0.001533
HCM,Multi-territory MI (μ=1.7),20,All Regions,-1,Lateral,2,Diseased,MCMC,0.006130,,0.070612,1.033604,1.033604,1.000000,0.006130
HCM,Multi-territory MI (μ=1.7),20,All Regions,-1,Septal,3,Diseased,MCMC,0.031850,,0.131804,1.660126,1.660126,1.000000,0.031850
HCM,Multi-territory MI (μ=1.7),20,All Regions,-1,Apical,4,Diseased,MCMC,0.000005,,0.043484,0.697899,0.697899,1.000000,0.000005
HCM,Multi-territory MI (μ=1.7),21,All Regions,-1,Anterior,0,Diseased,MCMC,0.002094,,0.083331,1.269193,1.269193,1.000000,0.002094
HCM,Multi-territory MI (μ=1.7),21,All Regions,-1,Inferior,1,Diseased,MCMC,0.003779,,0.125896,2.340720,2.340720,1.000000,0.003779
HCM,Multi-territory MI (μ=1.7),21,All Regions,-1,Lateral,2,Diseased,MCMC,0.000054,,0.056646,0.927337,0.927337,1.000000,0.000054
HCM,Multi-territory MI (μ=1.7),21,All Regions,-1,Septal,3,Diseased,MCMC,0.042006,,0.143142,1.720017,1.720017,1.000000,0.042006
HCM,Multi-territory MI (μ=1.7),21,All Regions,-1,Apical,4,Diseased,MCMC,0.000099,,0.047677,0.774515,0.774515,1.000000,0.000099
HCM,Multi-territory MI (μ=1.7),22,All Regions,-1,Anterior,0,Diseased,MCMC,0.000296,,0.072638,1.120110,1.120110,1.000000,0.000296
HCM,Multi-territory MI (μ=1.7),22,All Regions,-1,Inferior,1,Diseased,MCMC,0.000262,,0.106528,1.603189,1.603189,1.000000,0.000262
HCM,Multi-territory MI (μ=1.7),22,All Regions,-1,Lateral,2,Diseased,MCMC,0.000207,,0.050543,0.844602,0.844602,1.000000,0.000207
HCM,Multi-territory MI (μ=1.7),22,All Regions,-1,Septal,3,Diseased,MCMC,0.038208,,0.149642,1.857857,1.857857,1.000000,0.038208
